name,url,,
BFM : Paris,https://www.bfmtv.com/rss/paris/,general,presse
BFM : Rennes,https://www.bfmtv.com/rss/rennes/,general,presse
BFM : Saint Étienne,https://www.bfmtv.com/rss/saint-etienne/,general,presse
BFM : Toulouse,https://www.bfmtv.com/rss/toulouse/,general,presse
BFM : Tours,https://www.bfmtv.com/rss/tours/,general,presse
BFM : Var,https://www.bfmtv.com/rss/var/,general,presse
Bing Actu : Bretagne,https://www.bing.com/news/search?q=bretagne&amp;qft=sortbydate%3d%221%22+interval%3d%227%22&amp;form=YFNR&amp;format=rss&amp;mkt=fr-fr&amp;setlang=fr,general,
Bing Actu : Corse,https://www.bing.com/news/search?q=corse&amp;qft=sortbydate%3d%221%22+interval%3d%227%22&amp;form=YFNR&amp;format=rss&amp;mkt=fr-fr&amp;setlang=fr,general,
Bing Actu : Paris,https://www.bing.com/news/search?q=paris&amp;qft=sortbydate%3d%221%22+interval%3d%227%22&amp;form=YFNR&amp;format=rss&amp;cc=fr,general,presse
Bondamanjak,https://www.bondamanjak.com/feed/,general,
Bondamanjak : Guadeloupe,https://www.bondamanjak.com/category/guadeloupe/aujourdhui-en-guadeloupe/feed/,general,
Bondamanjak : Martinique,https://www.bondamanjak.com/category/martinique/aujourdhui-en-martinique/feed/,general,
Bordeaux Gazette,https://www.bordeaux-gazette.com/spip.php?page=backend,general,
Côté Brest,http://feeds.feedburner.com/CtBrest-LactualitLocale-Actufr,general,
Côté La Flèche,http://feeds.feedburner.com/CtLaFlche-LactualitLocale-Actufr,general,
Côté Manche,http://feeds.feedburner.com/CtManche-LactualitLocale-Actufr,general,
Caledonia : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCdX2FGu9cQ0HwKRnymkulcw,general,
Centre presse : actualité,https://www.centrepresseaveyron.fr/rss.xml,general,presse
Charente Libre : Charente,https://www.charentelibre.fr/charente/rss.xml,general,presse
CNews : Paris : flipboard,https://flipboard.com/@cnews_fr/actu-paris-qqrkg7fez.rss,general,tribune
Corse Matin : bluesky,https://bsky.app/profile/did:plc:bhmnbm66ctbglhjgu4tkoxex/rss,general,presse
Corse Matin : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCminx_9bdEOPDmmLzUhpoSQ,general,presse
Corse Net Infos (bot) : bluesky,https://bsky.app/profile/did:plc:t4zpeezzljog4qciw4hg6jvl/rss,general,presse
Corse Net Infos : actualités,https://www.corsenetinfos.corsica/xml/syndication.rss,general,presse
Corse Net Infos : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UC59NZI9h9pWQON3WlANJaLw,general,presse
Corsica Radio,https://corsicaradio.fr/feed/,general,presse
Demain Vendée,https://demain-vendee.fr/feed/,general,
Dernières Nouvelles d'Alsace : édito,https://www.dna.fr/actualite/edito/rss,general,presse
Dernières Nouvelles d'Alsace : Alsace,https://www.dna.fr/region/alsace/rss,general,presse
Dernières Nouvelles d'Alsace : Bas-Rhin,https://www.dna.fr/region/bas-rhin/rss,general,presse
Dernières Nouvelles d'Alsace : Haguenau Wissembourg,https://www.dna.fr/edition-haguenau-wissembourg/infos-locales/rss,general,presse
Dernières Nouvelles d'Alsace : Haut-Rhin,https://www.dna.fr/region/haut-rhin/rss,general,presse
Dernières Nouvelles d'Alsace : Strasbourg,https://www.dna.fr/edition-strasbourg/infos-locales/rss,general,presse
Dis-leur,https://dis-leur.fr/feed/,general,presse
Esprit Occitanie,https://www.espritoccitanie.fr/rss-feed-7,general,presse
Euronews - FR : Lyon,https://fr.euronews.com/rss?level=tag&amp;name=lyon,general,presse
Euronews - FR : Lyon,https://fr.euronews.com/rss?level=tag&amp;name=lyon,general,presse
Euronews - FR : Marseille,https://fr.euronews.com/rss?level=tag&amp;name=marseille,general,presse
Euronews - FR : Montpellier,https://fr.euronews.com/rss?level=tag&amp;name=montpellier,general,presse
Euronews - FR : Nice,https://fr.euronews.com/rss?level=tag&amp;name=nice,general,presse
Euronews - FR : Paris,https://fr.euronews.com/rss?level=tag&amp;name=paris,general,presse
Flipboard : Alsace,https://flipboard.com/topic/fr-alsace.rss,general,
Flipboard : Bretagne,https://flipboard.com/topic/fr-bretagne.rss,general,
Flipboard : Corse,https://flipboard.com/topic/fr-corse.rss,general,
Flipboard : Groenland,https://flipboard.com/topic/fr-groenland.rss,general,
Flipboard : Guadeloupe,https://flipboard.com/topic/fr-guadeloupe.rss,general,
Flipboard : Guyane,https://flipboard.com/topic/fr-guyane.rss,general,
Flipboard : Hauts-de-France,https://flipboard.com/topic/fr-hautsdefrance.rss,general,
