name,url,,,,,,,,,,,,,
AFP - Agence France-Presse : La situation en République démocratique du Congo : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLAo5j5U8Vm-vkS7QqZacsP1T97RCIa5rm,general,presse,,,,,,,,,,,
AFP - Agence France-Presse : Les décryptages : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLAo5j5U8Vm-sDNg7a9v2AC8z8MYJB9zW2,general,presse,,,,,,,,,,,
AFP - Agence France-Presse : Les images de l'actu : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLAo5j5U8Vm-thbrYLUFFSg4WJ1P-RWfRd,general,presse,,,,,,,,,,,
AFP - Agence France-Presse : mastodon,https://amicale.net/@afpfr.rss,general,presse,,,,,,,,,,,
AFP - Agence France-Presse : Sur le fil,https://feeds.acast.com/public/shows/64c3a6a885617f0011e3d14f,general,presse,,,,,,,,,,,
AFP - Agence France-Presse : Sur le fil : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLAo5j5U8Vm-swNTARG2U-gUQy0gxv_pyz,general,monde,,,,,,,,,,,
AFP - Agence France-Presse : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCckz6n8QccTd6K_xdwKqa0A,general,presse,,,,,,,,,,,
Africanews - FR : actualités,https://fr.africanews.com/feed/rss?themes=news,general,presse,,,,,,,,,,,
Africanews - FR : flipboard,https://flipboard.com/@AfricanewsFr.rss,general,presse,,,,,,,,,,,
Africanews - FR : Sahara occidental,https://fr.africanews.com/feed/rss?tag=sahara-occidental,general,presse,,,,,,,,,,,
Africanews - FR : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UC25EuGAePOPvPrUA5cmu3dQ,general,presse,,,,,,,,,,,
Afrique sur 7 : La lettre de Poy,https://www.afrique-sur7.fr/la-lettre-de-poy-les-chroniques-politiques-et-dossiers/feed,general,presse,,,,,,,,,,,
"Afrique sur 7 : titrologie, revue de presse",https://www.afrique-sur7.fr/titrologie-revue-de-presse-ivoirienne/feed,general,revue_de_presse,,,,,,,,,,,
Afrique XXI,https://afriquexxi.info/?page=backend&amp,lang=fr,general,alternatif,,,,,,,,,,
Afrique XXI : bluesky,https://bsky.app/profile/did:plc:bq6tl5yibl6j5bs35xajalux/rss,general,presse,,,,,,,,,,,
Afropages : bluesky,https://bsky.app/profile/did:plc:meqmwbhzho65fuef7notuzr5/rss,general,presse,,,,,,,,,,,
Agence Média Palestine,https://agencemediapalestine.fr/feed/,general,presse,,,,,,,,,,,
Al Ain,https://feeds.feedburner.com/Al-ainFranais,general,,,,,,,,,,,,
Algérie 360,https://www.algerie360.com/feed/,general,presse,,,,,,,,,,,
Algérie focus,http://feeds.feedburner.com/algerie-focus,general,,,,,,,,,,,,
AllAfrica : Sénégal,https://fr.allafrica.com/tools/headlines/rdf/senegal/headlines.rdf,general,,,,,,,,,,,,
AllAfrica News,https://fr.allafrica.com/tools/headlines/rdf/latest/headlines.rdf,general,,,,,,,,,,,,
APS - Agence de Presse Sénégalaise : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UC8uoOv4RSzdZKlmPTguYjtg,general,presse,,,,,,,,,,,
APS - Algérie Presse Service : Algérie,http://feeds.aps.dz/aps-algerie,general,,,,,,,,,,,,
APS - Algérie Presse Service : monde,http://feeds.aps.dz/aps-monde,general,,,,,,,,,,,,
Arrêt sur image : mastodon,https://mamot.fr/@arretsurimages.rss,general,media,,,,,,,,,,,
Arrêt sur images,https://api.arretsurimages.net/api/public/rss/all-content,general,alternatif,,,,,,,,,,,
Arrêt sur images : bluesky,https://bsky.app/profile/did:plc:jmusvarqn5czqikhnqdmjyum/rss,general,media,,,,,,,,,,,
Arte : 28 minutes : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UC8EzKGkEiusTm7g0mTfkWkg,general,,,,,,,,,,,,
Arte : Ukraine Russie Comprendre le conflit : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PLCwXWOyIR22uIyapIsBAk5uARuWHqtVM1,general,,,,,,,,,,,,
Arte : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCL_cZf5sHKQHMRIEax5o3sg,general,,,,,,,,,,,,
Arte : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCwI-JbGNsojunnHbFAc0M4Q,general,,,,,,,,,,,,
Association de la Presse Judiciaire,https://pressejudiciaire.fr/feed/,general,presse,,,,,,,,,,,
Association de la Presse Judiciaire : bluesky,https://bsky.app/profile/did:plc:lqxoe252p6q746wbky5kkenm/rss,general,presse,,,,,,,,,,,
Atlantico,https://rss.atlantico.fr/,general,,,,,,,,,,,,
Atlas info,https://atlasinfo.fr/feed,general,,,,,,,,,,,,
Au poste,https://www.auposte.fr/feed/,general,societe,,,,,,,,,,,
Au Sénégal,https://www.au-senegal.com/spip.php?page=backend,general,,,,,,,,,,,,
Basta,https://basta.media/spip.php?page=backend,general,alternatif,,,,,,,,,,,
Basta! : bluesky,https://bsky.app/profile/did:plc:6tko42pks4rfcjh7rfqkzmhu/rss,general,alternatif,,,,,,,,,,,
BBC : Afrique,https://feeds.bbci.co.uk/afrique/rss.xml,general,presse,,,,,,,,,,,
Beur FM : youtube,https://www.youtube.com/feeds/videos.xml?channel_id=UCR_C4rru48vq0j4zNCujPfw,general,presse,,,,,,,,,,,
BFM : Égypte,https://www.bfmtv.com/rss/international/afrique/egypte/,general,presse,,,,,,,,,,,
BFM : États-Unis : youtube,https://www.youtube.com/feeds/videos.xml?playlist_id=PL-qBKb-rfbhiMyET2Z28s6DZUjYR8PQSf,general,presse,,,,,,,,,,,
BFM : Afrique,https://www.bfmtv.com/rss/international/afrique/,general,presse,,,,,,,,,,,
BFM : Allemagne,https://www.bfmtv.com/rss/international/europe/allemagne/,general,presse,,,,,,,,,,,
BFM : Amérique du Nord,https://www.bfmtv.com/rss/international/amerique-nord/,general,presse,,,,,,,,,,,
BFM : Amérique latine,https://www.bfmtv.com/rss/international/amerique-latine/,general,presse,,,,,,,,,,,
BFM : Asie,https://www.bfmtv.com/rss/international/asie/,general,presse,,,,,,,,,,,
BFM : Belgique,https://www.bfmtv.com/rss/international/europe/belgique/,general,presse,,,,,,,,,,,
BFM : bluesky,https://bsky.app/profile/did:plc:wb4ovhhcrif6cp66oe2pqx7i/rss,general,presse,,,,,,,,,,,
BFM : Canada,https://www.bfmtv.com/rss/international/amerique-nord/canada/,general,presse,,,,,,,,,,,
BFM : Chine,https://www.bfmtv.com/rss/international/asie/chine/,general,presse,,,,,,,,,,,
BFM : dailymotion,https://www.dailymotion.com/rss/user/BFMTV,general,presse,,,,,,,,,,,
BFM : Espagne,https://www.bfmtv.com/rss/international/europe/espagne/,general,presse,,,,,,,,,,,
