name,url
Le Monde - Campus,https://www.lemonde.fr/campus/rss_full.xml
Le Monde - Education,https://www.lemonde.fr/education/rss_full.xml
Le Monde - La une Economie,https://www.lemonde.fr/economie/rss_full.xml
Le Monde - Entreprises,https://www.lemonde.fr/entreprises/rss_full.xml
Le Monde - Argent,https://www.lemonde.fr/argent/rss_full.xml
Le Monde - Économie française,https://www.lemonde.fr/economie-francaise/rss_full.xml
Le Monde - Industrie,https://www.lemonde.fr/industrie/rss_full.xml
Le Monde - Emploi,https://www.lemonde.fr/emploi/rss_full.xml
Le Monde - Immobilier,https://www.lemonde.fr/immobilier/rss_full.xml
Le Monde - Médias,https://www.lemonde.fr/actualite-medias/rss_full.xml
Le Monde - La une Culture,https://www.lemonde.fr/culture/rss_full.xml
Le Monde - Cinéma,https://www.lemonde.fr/cinema/rss_full.xml
Le Monde - Musiques,https://www.lemonde.fr/musiques/rss_full.xml
Le Monde - Télévision et radio,https://www.lemonde.fr/televisions-radio/rss_full.xml
Le Monde - Le Monde des livres,https://www.lemonde.fr/livres/rss_full.xml
Le Monde - Arts,https://www.lemonde.fr/arts/rss_full.xml
Le Monde - Scènes,https://www.lemonde.fr/scenes/rss_full.xml
Le Monde - La une Sport,https://www.lemonde.fr/sport/rss_full.xml
Le Monde - Football,https://www.lemonde.fr/football/rss_full.xml
Le Monde - Rugby,https://www.lemonde.fr/rugby/rss_full.xml
Le Monde - Tennis,https://www.lemonde.fr/tennis/rss_full.xml
Le Monde - Cyclisme,https://www.lemonde.fr/cyclisme/rss_full.xml
Le Monde - Basket,https://www.lemonde.fr/basket/rss_full.xml
Le Monde - La une Planète,https://www.lemonde.fr/planete/rss_full.xml
Le Monde - Climat,https://www.lemonde.fr/climat/rss_full.xml
Le Monde - Agriculture,https://www.lemonde.fr/agriculture/rss_full.xml
Le Monde - Environnement,https://www.lemonde.fr/afrique-climat-et-environnement/rss_full.xml
Le Monde - La une Pixels,https://www.lemonde.fr/pixels/rss_full.xml
Le Monde - Jeux vidéo,https://www.lemonde.fr/jeux-video/rss_full.xml
Le Monde - Culture web,https://www.lemonde.fr/cultures-web/rss_full.xml
Le Monde - La une Sciences,https://www.lemonde.fr/sciences/rss_full.xml
